Date,Open,High,Low,Close,Volume
2022-06-02,66600,67000,66400,66700,14959443
2022-06-03,67200,67300,66800,66800,8222883
2022-06-07,66200,66400,65400,65500,19355755
2022-06-08,65400,65700,65300,65300,12483180
2022-06-09,65100,65200,64500,65200,25790725
2022-06-10,64000,64400,63800,63800,22193552
2022-06-13,62400,62800,62100,62100,22157816
2022-06-14,61200,62200,61100,61900,24606419
2022-06-15,61300,61500,60200,60700,26811224
2022-06-16,61300,61800,60500,60900,23394895
2022-06-17,59400,59900,59400,59800,29053450
2022-06-20,59800,59900,58100,58700,34111306
2022-06-21,58700,59200,58200,58500,25148109
2022-06-22,59000,59100,57600,57600,23334687
2022-06-23,57700,58000,56800,57400,28338608
2022-06-24,57900,59100,57700,58400,23256103
2022-06-27,59000,59900,58300,58800,18122236
2022-06-28,59200,59500,58700,59400,13540538
2022-06-29,58500,58800,58000,58000,14677138
2022-06-30,57200,57600,57000,57000,18915142
2022-07-01,56900,57500,55900,56200,24982097
2022-07-04,56100,57400,55700,57100,17807126
2022-07-05,57600,58200,57200,57200,14216539
2022-07-06,57300,57300,56400,56400,16820461
2022-07-07,56400,58700,56300,58200,21322833
2022-07-08,58600,59300,58200,58700,15339271
2022-07-11,59300,59600,58700,58800,13042624
2022-07-12,58600,58700,58100,58100,9336061
2022-07-13,58300,58600,58000,58000,10841315
2022-07-14,57500,58200,57400,57500,15067012
2022-07-15,58400,60000,58100,60000,18685583
2022-07-18,60600,62000,60500,61900,20832517
2022-07-19,61400,61500,60200,60900,15248261
2022-07-20,61800,62100,60500,60500,16782238
2022-07-21,61100,61900,60700,61800,12291374
2022-07-22,61800,62200,61200,61300,10261310
2022-07-25,60900,61900,60800,61100,9193681
2022-07-26,60800,61900,60800,61700,6597211
2022-07-27,61300,61900,61200,61800,7320997
2022-07-28,62300,62600,61600,61900,10745302
2022-07-29,62400,62600,61300,61400,15093120
2022-08-01,61000,61700,60300,61300,13154816
2022-08-02,61200,61900,61000,61700,13614895
2022-08-03,61600,61600,61000,61300,10053861
2022-08-04,61700,61800,61200,61500,9125439
2022-08-05,61700,61900,61200,61500,9567620
2022-08-08,61400,61400,60600,60800,11313150
2022-08-09,60600,60700,59600,60000,18251170
2022-08-10,58900,59200,58600,59100,18084349
2022-08-11,59600,60000,59300,59900,15141941
2022-08-12,59500,60700,59400,60200,10786658
2022-08-16,60500,61600,60300,61000,15036727
2022-08-17,61100,61200,60300,60400,9061518
2022-08-18,60300,61900,60000,61500,16372754
2022-08-19,61400,61600,60600,60900,6923679
2022-08-22,60300,60400,59800,60000,8259865
2022-08-23,59000,59600,59000,59100,9041629
2022-08-24,59200,59500,59000,59000,8888486
2022-08-25,59200,59700,59000,59700,5767902
2022-08-26,60300,60900,59900,60000,9499995
2022-08-29,58700,58900,58600,58600,9841329
2022-08-30,58700,59000,58300,58800,9690044
2022-08-31,58200,59900,58200,59700,14203512
2022-09-01,58700,58900,58300,58400,14905777
2022-09-02,58300,58600,57500,57500,15040310
2022-09-05,57400,57800,56800,57100,11425977
2022-09-06,57200,57600,56900,57100,7503086
2022-09-07,56700,56700,55900,56000,17384854
2022-09-08,56200,56400,55600,55600,18000016
2022-09-13,57000,58500,56800,58100,17166581
2022-09-14,56200,57200,56100,56800,12524961
2022-09-15,57000,57100,56000,56000,11664819
2022-09-16,55600,56400,55500,56200,13456503
2022-09-19,56300,57000,56000,56400,12278653
2022-09-20,56400,57000,55800,55800,14041465
2022-09-21,55400,55500,55000,55300,11863700
2022-09-22,54600,54700,54300,54400,12786510
2022-09-23,54400,54900,54200,54500,10555964
2022-09-26,53700,54200,53600,53900,15008449
